Fecha y hora,Vehiculo,Edad,Sexo,Tipo de Siniestro,Otro vehiculo,Lugar del Siniestro
11/4/12 22:00,MOTO,34,M,COLISION ENTRE VEHICULOS,AUTO,"RUTA CIENTOUNO , CANELONES"
12/4/12 7:51,MOTO,28,M,COLISION ENTRE VEHICULOS,CAMION,"BOULEVARD JOSE BATLLE Y ORDO„EZ esq. AVENIDA GENERAL FLORES, MONTEVIDEO"
12/4/12 9:27,PEATON,69,M,ATROPELLO DE PEATON,OMNIBUS,"SUIZA Nro. 1999 esq. JOSE GURVICH, MONTEVIDEO"
13/04/2012 09:10,PEATON,85,M,ATROPELLO DE PEATON,AUTO,"AVENIDA DOCTOR LUIS ALBERTO DE HERRERA Nro. 1290 esq. PLACIDO ELLAURI, MONTEVIDEO"
14/04/2012 08:50,AUTO,36,M,DESPISTE,,"Camino Leandro G—mez, MALDONADO"
14/04/2012 13:45,AUTO,Sin Dato,M,COLISION ENTRE VEHICULOS,CAMION,"RUTA 3 KM. 80, SAN JOSE"
15/04/2012 03:00,PEATON,45,M,ATROPELLO DE PEATON,MOTO,"PANCHO LOPEZ  esq. URUGUAY, FLORES"
15/04/2012 05:05,MOTO,16,M,COLISION ENTRE VEHICULOS,CAMIONETA,"GENERAL MANUEL ORIBE esq. PANTALEON ARTIGAS, TREINTA Y TRES"
15/04/2012 08:00,MOTO,23,M,COLISION CON OBSTACULO,-,"WASHINGTON esq. ZELMAR MICHELINI, PAYSANDU"
16/04/2012 07:00,CAMIONETA,34,M,DESPISTE,-,"RUTA 39 KM 83, MALDONADO"
18/04/2012 09:50,MOTO,32,M,CAIDA,-,"CAMINO PASO CALPINO esq. BERNARDO ETCHEVARNE, MONTEVIDEO"
19/04/2012 19:50,AUTO,42,M,COLISION ENTRE VEHICULOS,CAMION,"RUTA CIENTODOS esq. CAMINO DE LOS SIETE CERROS, MONTEVIDEO"
20/04/2012 14:20,BICICLETA,70,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RUTA 11 KM. 41900 , SAN JOSE"
20/04/2012 16:20,MOTO,66,M,COLISION ENTRE VEHICULOS,CAMION,"RUTA 21 KM 246, COLONIA"
20/04/2012 19:10,BICICLETA,Sin Dato,M,COLISION ENTRE VEHICULOS,AUTO,"RUTA 30, ARTIGAS"
